#EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-06-2015
#THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

#Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
#air temperature and precipitation series for the European Climate Assessment.
#Int. J. of Climatol., 22, 1441-1453.
#Data and metadata available at http://www.ecad.eu

#FILE FORMAT (MISSING VALUE CODE IS -9999):

#01-06 STAID: Station identifier
#08-13 SOUID: Source identifier
#15-22 DATE : Date YYYYMMDD
#24-28 SS   : sunshine in 0.1 Hours
#30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

#This is the series (SOUID: 107654) of IRELAND, WATERFORD (TYCOR) (STAID: 1760)
#See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
  1760,107654,19620312,   23,    0
  1760,107654,19620313,   90,    0
  1760,107654,19620314,   16,    0
  1760,107654,19620315,    0,    0
  1760,107654,19620316,    0,    0
  1760,107654,19620317,   20,    0
  1760,107654,19620318,  104,    0
  1760,107654,19620319,   45,    0
  1760,107654,19620320,   44,    0
  1760,107654,19620321,   42,    0
  1760,107654,19620322,   39,    0
  1760,107654,19620323,   23,    0
  1760,107654,19620324,   27,    0
  1760,107654,19620325,    9,    0
  1760,107654,19620326,   76,    0
  1760,107654,19620327,   78,    0
  1760,107654,19620328,   12,    0
  1760,107654,19620329,   30,    0
  1760,107654,19620330,  104,    0
  1760,107654,19620331,   70,    0
  1760,107654,19620401,-9999,    9
  1760,107654,19620402,-9999,    9
  1760,107654,19620403,-9999,    9
  1760,107654,19620404,-9999,    9
  1760,107654,19620405,-9999,    9
  1760,107654,19620406,-9999,    9
  1760,107654,19620407,-9999,    9
  1760,107654,19620408,-9999,    9
  1760,107654,19620409,-9999,    9
  1760,107654,19620410,-9999,    9
  1760,107654,19620411,-9999,    9
  1760,107654,19620412,-9999,    9
  1760,107654,19620413,-9999,    9
  1760,107654,19620414,-9999,    9
  1760,107654,19620415,-9999,    9
  1760,107654,19620416,-9999,    9
  1760,107654,19620417,-9999,    9
  1760,107654,19620418,-9999,    9
  1760,107654,19620419,-9999,    9
  1760,107654,19620420,-9999,    9
  1760,107654,19620421,-9999,    9
  1760,107654,19620422,-9999,    9
  1760,107654,19620423,-9999,    9
  1760,107654,19620424,-9999,    9
  1760,107654,19620425,-9999,    9
  1760,107654,19620426,-9999,    9
  1760,107654,19620427,-9999,    9
  1760,107654,19620428,-9999,    9
  1760,107654,19620429,-9999,    9
  1760,107654,19620430,-9999,    9
  1760,107654,19620501,-9999,    9
  1760,107654,19620502,-9999,    9
  1760,107654,19620503,-9999,    9
  1760,107654,19620504,-9999,    9
  1760,107654,19620505,-9999,    9
  1760,107654,19620506,-9999,    9
  1760,107654,19620507,-9999,    9
  1760,107654,19620508,-9999,    9
  1760,107654,19620509,-9999,    9
  1760,107654,19620510,-9999,    9
  1760,107654,19620511,-9999,    9
  1760,107654,19620512,-9999,    9
  1760,107654,19620513,-9999,    9
  1760,107654,19620514,-9999,    9
  1760,107654,19620515,-9999,    9
  1760,107654,19620516,-9999,    9
  1760,107654,19620517,-9999,    9
  1760,107654,19620518,-9999,    9
  1760,107654,19620519,-9999,    9
  1760,107654,19620520,-9999,    9
  1760,107654,19620521,-9999,    9
  1760,107654,19620522,-9999,    9
  1760,107654,19620523,-9999,    9
  1760,107654,19620524,-9999,    9
  1760,107654,19620525,-9999,    9
  1760,107654,19620526,-9999,    9
  1760,107654,19620527,-9999,    9
  1760,107654,19620528,-9999,    9
  1760,107654,19620529,-9999,    9
  1760,107654,19620530,-9999,    9
  1760,107654,19620531,-9999,    9
  1760,107654,19620601,-9999,    9
  1760,107654,19620602,-9999,    9
  1760,107654,19620603,-9999,    9
  1760,107654,19620604,-9999,    9
  1760,107654,19620605,-9999,    9
  1760,107654,19620606,-9999,    9
  1760,107654,19620607,-9999,    9
  1760,107654,19620608,-9999,    9
  1760,107654,19620609,-9999,    9
  1760,107654,19620610,-9999,    9
  1760,107654,19620611,-9999,    9
  1760,107654,19620612,-9999,    9
  1760,107654,19620613,-9999,    9
  1760,107654,19620614,-9999,    9
  1760,107654,19620615,-9999,    9
  1760,107654,19620616,-9999,    9
  1760,107654,19620617,-9999,    9
  1760,107654,19620618,-9999,    9
  1760,107654,19620619,-9999,    9
  1760,107654,19620620,-9999,    9
  1760,107654,19620621,-9999,    9
  1760,107654,19620622,-9999,    9
  1760,107654,19620623,-9999,    9
  1760,107654,19620624,-9999,    9
  1760,107654,19620625,-9999,    9
  1760,107654,19620626,-9999,    9
  1760,107654,19620627,-9999,    9
  1760,107654,19620628,-9999,    9
  1760,107654,19620629,-9999,    9
  1760,107654,19620630,-9999,    9
  1760,107654,19620701,-9999,    9
  1760,107654,19620702,-9999,    9
  1760,107654,19620703,-9999,    9
  1760,107654,19620704,-9999,    9
  1760,107654,19620705,-9999,    9
  1760,107654,19620706,-9999,    9
  1760,107654,19620707,-9999,    9
  1760,107654,19620708,-9999,    9
  1760,107654,19620709,-9999,    9
  1760,107654,19620710,-9999,    9
  1760,107654,19620711,-9999,    9
  1760,107654,19620712,-9999,    9
  1760,107654,19620713,-9999,    9
  1760,107654,19620714,-9999,    9
  1760,107654,19620715,-9999,    9
  1760,107654,19620716,-9999,    9
  1760,107654,19620717,-9999,    9
  1760,107654,19620718,-9999,    9
  1760,107654,19620719,-9999,    9
  1760,107654,19620720,-9999,    9
  1760,107654,19620721,-9999,    9
  1760,107654,19620722,-9999,    9
  1760,107654,19620723,-9999,    9
  1760,107654,19620724,-9999,    9
  1760,107654,19620725,-9999,    9
  1760,107654,19620726,-9999,    9
  1760,107654,19620727,-9999,    9
  1760,107654,19620728,-9999,    9
  1760,107654,19620729,-9999,    9
  1760,107654,19620730,-9999,    9
  1760,107654,19620731,-9999,    9
  1760,107654,19620801,-9999,    9
  1760,107654,19620802,-9999,    9
  1760,107654,19620803,-9999,    9
  1760,107654,19620804,-9999,    9
  1760,107654,19620805,-9999,    9
  1760,107654,19620806,-9999,    9
  1760,107654,19620807,-9999,    9
  1760,107654,19620808,-9999,    9
  1760,107654,19620809,-9999,    9
  1760,107654,19620810,-9999,    9
  1760,107654,19620811,-9999,    9
  1760,107654,19620812,-9999,    9
  1760,107654,19620813,-9999,    9
  1760,107654,19620814,-9999,    9
  1760,107654,19620815,-9999,    9
  1760,107654,19620816,-9999,    9
  1760,107654,19620817,-9999,    9
  1760,107654,19620818,-9999,    9
  1760,107654,19620819,-9999,    9
  1760,107654,19620820,-9999,    9
  1760,107654,19620821,-9999,    9
  1760,107654,19620822,-9999,    9
  1760,107654,19620823,-9999,    9
  1760,107654,19620824,-9999,    9
  1760,107654,19620825,-9999,    9
  1760,107654,19620826,-9999,    9
  1760,107654,19620827,-9999,    9
  1760,107654,19620828,-9999,    9
  1760,107654,19620829,-9999,    9
  1760,107654,19620830,-9999,    9
  1760,107654,19620831,-9999,    9
  1760,107654,19620901,-9999,    9
  1760,107654,19620902,-9999,    9
  1760,107654,19620903,-9999,    9
  1760,107654,19620904,-9999,    9
  1760,107654,19620905,-9999,    9
  1760,107654,19620906,-9999,    9
  1760,107654,19620907,-9999,    9
  1760,107654,19620908,-9999,    9
  1760,107654,19620909,-9999,    9
  1760,107654,19620910,-9999,    9
  1760,107654,19620911,-9999,    9
  1760,107654,19620912,-9999,    9
  1760,107654,19620913,-9999,    9
  1760,107654,19620914,-9999,    9
  1760,107654,19620915,-9999,    9
  1760,107654,19620916,-9999,    9
  1760,107654,19620917,-9999,    9
  1760,107654,19620918,-9999,    9
  1760,107654,19620919,-9999,    9
  1760,107654,19620920,-9999,    9
  1760,107654,19620921,-9999,    9
  1760,107654,19620922,-9999,    9
  1760,107654,19620923,-9999,    9
  1760,107654,19620924,-9999,    9
  1760,107654,19620925,-9999,    9
  1760,107654,19620926,-9999,    9
  1760,107654,19620927,-9999,    9
  1760,107654,19620928,-9999,    9
  1760,107654,19620929,-9999,    9
  1760,107654,19620930,-9999,    9
  1760,107654,19621001,-9999,    9
